dataset,variable,descripcion,tipo_variable,rol_analitico,nivel_nulos,decision,justificacion
contexto_digitalizacion_clean,anio,Año de observación,tecnica,join_temporal,ninguno,mantener,Variable temporal principal para cruces con otras fuentes anuales.
contexto_digitalizacion_clean,pct_usuarios_rrss,Porcentaje de usuarios de redes sociales en España,nucleo,analisis_principal,ninguno,mantener,Indicador clave del contexto de digitalización social.
contexto_digitalizacion_clean,pct_personas_compra_online,Porcentaje de personas que realizan compras online,nucleo,analisis_principal,"1 (2025, imputado por interpolacion lineal)","mantener — nulo imputado con interpolacion lineal, flag _imputado=True",Indicador clave del consumo digital. 1 nulo en 2025 por dato pendiente de publicacion. Serie 2020-2024 continua y monótonamente creciente (62.62→68.94): interpolacion lineal es la estimacion mas conservadora. Valor imputado: 68.94. Flag de trazabilidad incluido en el master.
contexto_digitalizacion_clean,pct_personas_compra_online_imputado,Flag booleano: True si el valor de pct_personas_compra_online fue imputado,tecnica,trazabilidad,ninguno,mantener — propagado al master anual para analisis de sensibilidad,Permite excluir el valor estimado del año 2025 en analisis de sensibilidad.
contexto_digitalizacion_extended,pct_personas_compra_ropa_online,Porcentaje de personas que compran ropa online,auxiliar,contexto,alto (5/6 filas),mantener_solo_trazabilidad,"Variable temáticamente relevante pero con cobertura insuficiente (solo 1 observacion valida, año 2024). No entra en el master analitico principal."
contexto_digitalizacion_documentado,comentarios_hitos,Comentarios contextuales sobre hitos del periodo,contextual,trazabilidad,bajo,mantener_solo_trazabilidad,"Util para narrativa e interpretacion, no para analisis cuantitativo."
contexto_digitalizacion_documentado,fuente_usuarios_redes / fuente_compra_online / fuente_compra_ropa_online,Fuentes originales de cada variable,tecnica,trazabilidad,bajo,mantener_solo_trazabilidad,"Necesarias para auditoria metodologica, no para el master analitico."
comercio_electronico_core_std,anio,Año de observacion,tecnica,join_temporal,ninguno,mantener,Necesaria para series anuales y cruces con el resto de fuentes.
comercio_electronico_core_std,indicador_std,Indicador estandarizado comun entre años,nucleo,analisis_principal,ninguno,mantener,Permite comparar entre años indicadores con distinta codificacion original.
comercio_electronico_core_std,tamano_empresa,Tamaño de empresa,auxiliar,segmentacion,ninguno,mantener,Permite analisis por tamaño y seleccion de 'total' para masters integrados.
comercio_electronico_core_std,valor,Valor numerico del indicador,nucleo,analisis_principal,"bajo (1210 nulos estructurales INE, 3.52%)","mantener — nulos son ausencias estructurales de la fuente, no imputables","Variable cuantitativa principal. Los 1210 nulos corresponden a indicadores no incluidos en ediciones anteriores de la Encuesta TIC-E. Son ausencias de cuestionario, no errores de datos."
comercio_electronico_core_std,indicador,Etiqueta original del indicador INE,tecnica,trazabilidad,ninguno,mantener_solo_trazabilidad,Conserva referencia original del INE; el analisis opera sobre indicador_std.
capa1_master_anual_analysis,anio,Año de observacion,tecnica,join_temporal,ninguno,mantener,Variable temporal principal del master anual.
capa1_master_anual_analysis,pct_usuarios_rrss,Uso de redes sociales (%),nucleo,analisis_principal,ninguno,mantener,Indicador esencial del contexto digital.
capa1_master_anual_analysis,pct_personas_compra_online,Compra online de personas (%),nucleo,analisis_principal,ninguno en periodo 2020-2023,mantener,Indicador esencial del consumo digital. Nulo de 2025 excluido del master_analysis.
capa1_master_anual_analysis,pct_facturacion_empresas_online,Facturacion empresarial procedente de ventas online (%),nucleo,analisis_principal,ninguno en periodo 2020-2023,mantener,Aporta la perspectiva empresarial del canal online.
capa1_master_anual_analysis,pct_empresas_venden_ecommerce,Porcentaje de empresas que venden por ecommerce,nucleo,analisis_principal,ninguno en periodo 2020-2023,mantener,Mide adopcion empresarial del canal ecommerce.
capa1_master_anual_analysis,pct_empresas_venden_web_apps,Porcentaje de empresas que venden por web o apps,auxiliar,segmentacion,"1 (2023) — ausencia metodologica, NO imputable",mantener con nulo documentado — cambio metodologico INE: indicador K.1 (2020-2022) no es comparable con I.1.1 (2023),"El INE reformulo el modulo de ecommerce en 2023, renombrando K.1 como I.1.1 con cambios en universo y formulacion. El valor de I.1.1 en 2023 es 27.44% pero no es homologable con K.1 de años anteriores. Se conserva el NaN en 2023 para no introducir una comparacion metodologicamente incorrecta. Valor de referencia documentado en calidad/master_anual_null_decisions.csv."
capa1_master_anual_analysis,pct_ventas_ecommerce_sobre_total,Peso del ecommerce sobre ventas totales (%),nucleo,analisis_principal,ninguno en periodo 2020-2023,mantener,Mide la importancia relativa del canal online en el total de ventas.
capa1_master_anual_analysis,pct_ventas_ecommerce_sobre_total_empresas_que_venden,Peso del ecommerce sobre ventas de empresas activas en el canal (%),auxiliar,analisis_principal,ninguno en periodo 2020-2023,mantener,Lectura mas fina del peso del canal dentro del subconjunto de empresas ecommerce.
capa1_master_mensual_analysis,fecha,Mes de observacion,nucleo,analisis_principal,ninguno,mantener,Variable temporal principal del master mensual.
capa1_master_mensual_analysis,indice_retail_moda,Indice mensual del retail de moda (base 2015=100),nucleo,analisis_principal,ninguno,mantener,Serie principal para estudiar la evolucion del sector moda.
capa1_master_mensual_analysis,indice_retail_total,Indice mensual del retail total (base 2021=100),nucleo,analisis_principal,ninguno,mantener,Serie de referencia para comparar el desempeño de la moda frente al retail agregado.
capa1_master_mensual_analysis,ratio_moda_vs_total,Ratio entre retail de moda y retail total,auxiliar,analisis_principal,ninguno,mantener,Variable derivada con alto valor interpretativo para comparar rendimiento relativo.
capa1_master_mensual_analysis,dif_moda_vs_total,Diferencia absoluta entre indice de moda e indice retail total,auxiliar,analisis_principal,ninguno,mantener,Complementa el ratio con una lectura absoluta de la brecha entre ambas series.
