dataset,rows,cols,columns
encuesta_fastfashion_clean,318,45,"timestamp, grupo_edad, sexo, freq_compra_anual, canal_compra_moda, gasto_mensual_moda, rrss_habituales, marcas_ve_frecuencia_rrss, tiempo_rrss_dia, freq_contenido_moda_rrss, sigue_influencers_moda, rs_influyen_compra, ha_comprado_por_ver_en_rrss, descubre_marcas_por_rrss, contenido_moda_aumenta_ganas, compra_por_repeticion_rrss, rrss_mas_que_publicidad, atraen_prendas_de_moda, compra_impulso, influye_prueba_social, interes_productos_virales, rrss_aceleran_tendencias, rrss_favorecen_consumo_rapido, ha_comprado_y_apenas_usado, confia_influencers, autenticidad_influencer_compra, influencers_interes_comercial, compra_ult_6m_por_rrss, freq_compra_por_rrss_6m, marcas_que_mas_influyen_compra_rrss, satisfaccion_compra_rrss, arrepentimiento_compra_rrss, seguira_comprando_influido_rrss, recomendaria_productos_descubiertos_rrss, id_respuesta, compra_ult_6m_por_rrss_bin, indice_influencia_rrss, indice_impulso_tendencia, indice_confianza_influencers, indice_escepticismo_influencers, indice_difusion_fastfashion, indice_postcompra, indice_riesgo_arrepentimiento, target_recomendaria_bin, target_seguira_comprando_bin"
encuesta_rrss_long,826,2,"id_respuesta, rrss"
encuesta_marcas_vistas_long,633,2,"id_respuesta, marca_vista_rrss"
encuesta_marcas_influyen_long,548,2,"id_respuesta, marca_influye_compra_rrss"
capa3_master_encuesta,318,45,"timestamp, grupo_edad, sexo, freq_compra_anual, canal_compra_moda, gasto_mensual_moda, rrss_habituales, marcas_ve_frecuencia_rrss, tiempo_rrss_dia, freq_contenido_moda_rrss, sigue_influencers_moda, rs_influyen_compra, ha_comprado_por_ver_en_rrss, descubre_marcas_por_rrss, contenido_moda_aumenta_ganas, compra_por_repeticion_rrss, rrss_mas_que_publicidad, atraen_prendas_de_moda, compra_impulso, influye_prueba_social, interes_productos_virales, rrss_aceleran_tendencias, rrss_favorecen_consumo_rapido, ha_comprado_y_apenas_usado, confia_influencers, autenticidad_influencer_compra, influencers_interes_comercial, compra_ult_6m_por_rrss, freq_compra_por_rrss_6m, marcas_que_mas_influyen_compra_rrss, satisfaccion_compra_rrss, arrepentimiento_compra_rrss, seguira_comprando_influido_rrss, recomendaria_productos_descubiertos_rrss, id_respuesta, compra_ult_6m_por_rrss_bin, indice_influencia_rrss, indice_impulso_tendencia, indice_confianza_influencers, indice_escepticismo_influencers, indice_difusion_fastfashion, indice_postcompra, indice_riesgo_arrepentimiento, target_recomendaria_bin, target_seguira_comprando_bin"
capa3_clustering_ready,318,17,"id_respuesta, grupo_edad, sexo, freq_compra_anual, canal_compra_moda, gasto_mensual_moda, tiempo_rrss_dia, freq_contenido_moda_rrss, sigue_influencers_moda, indice_influencia_rrss, indice_impulso_tendencia, indice_confianza_influencers, indice_escepticismo_influencers, indice_difusion_fastfashion, indice_postcompra, indice_riesgo_arrepentimiento, compra_ult_6m_por_rrss_bin"
capa3_supervised_ready,318,18,"id_respuesta, grupo_edad, sexo, freq_compra_anual, canal_compra_moda, gasto_mensual_moda, tiempo_rrss_dia, freq_contenido_moda_rrss, sigue_influencers_moda, compra_ult_6m_por_rrss_bin, indice_influencia_rrss, indice_impulso_tendencia, indice_confianza_influencers, indice_escepticismo_influencers, indice_difusion_fastfashion, indice_riesgo_arrepentimiento, target_recomendaria_bin, target_seguira_comprando_bin"
capa3_generacion_summary,4,8,"grupo_edad, n_respuestas, influencia_rrss_media, impulso_tendencia_medio, confianza_influencers_media, postcompra_media, arrepentimiento_medio, pct_compra_ult_6m_rrss"
capa3_sample_structure,9,3,"grupo_edad, sexo, n_respuestas"
capa3_target_summary,3,4,"target, n_validos, pct_clase_1, pct_clase_0"
capa3_dataset_quality_summary,3,7,"dataset, rows, cols, complete_cases, pct_complete_cases, total_nulls, avg_nulls_per_row"
