capa,bloque,tipo_modelo,objetivo,dataset,modelo,tipo,metricas_clave,mae,test_f1,test_auc,gap_f1,interpretacion,estado,es_ganador
Capa 1,Series temporales — Retail moda,regresion_temporal,Predecir evolución del índice retail moda (base 2015=100),capa1_master_mensual_analysis.csv,"SARIMA(0,1,1)(0,1,0,12)",Avanzado (Ganador),MAE=5.978 | RMSE=8.953 | MAPE=4.75%,5.978047182420763,,,,Serie temporal con estacionalidad mensual. Captura patrón rebajas y navidad.,Final,True
Capa 1,Series temporales — Retail moda,regresion_temporal,Predecir evolución del índice retail moda (base 2015=100),capa1_master_mensual_analysis.csv,Holt-Winters_ETS-AAA,Baseline,MAE=17.882 | RMSE=21.410 | MAPE=14.40%,17.88225001463948,,,,Serie temporal con estacionalidad mensual. Captura patrón rebajas y navidad.,Final,False
Capa 2,2A — Clasificación engagement Instagram,clasificacion_supervisada,Predecir publicaciones con alto engagement (> P75),instagram_model_input.csv,B_Random_Forest,Avanzado (Ganador),Acc=0.882 | F1=0.761 | AUC=0.905 | Gap_F1=-0.011,,0.7606837606837606,0.9050418967815655,-0.0114774114774114,"Predice alto engagement a partir de marca, tipo de post y estacionalidad.",Final,True
Capa 2,2A — Clasificación engagement Instagram,clasificacion_supervisada,Predecir publicaciones con alto engagement (> P75),instagram_model_input.csv,A_Logistic_Regression,Baseline,Acc=0.876 | F1=0.738 | AUC=0.862 | Gap_F1=-0.020,,0.7377777777777778,0.8622167206246429,-0.0195457335788826,"Predice alto engagement a partir de marca, tipo de post y estacionalidad.",Final,False
Capa 2,2B — Text Mining captions Instagram,text_mining_clasificacion,Predecir alto engagement a partir del texto del caption (TF-IDF),instagram_posts_clean.csv (captions),A_TFIDF_LogisticRegression,Baseline (Ganador),Acc=0.822 | F1=0.656 | AUC=0.852,,0.6557377049180327,0.852305284699651,0.0748374716712709,TF-IDF + modelo. Identifica términos predictivos del engagement.,Final,True
Capa 2,2B — Text Mining captions Instagram,text_mining_clasificacion,Predecir alto engagement a partir del texto del caption (TF-IDF),instagram_posts_clean.csv (captions),B_TFIDF_RandomForest,Avanzado,Acc=0.731 | F1=0.575 | AUC=0.834,,0.5752508361204013,0.8343324906705188,0.0993254350660394,TF-IDF + modelo. Identifica términos predictivos del engagement.,Final,False
Capa 2,2C — Series temporales Google Trends Zara,regresion_temporal,Predecir interés de búsqueda de Zara (Google Trends),trends_marcas_clean.csv,"ARIMA(2,1,2)",Final (Ganador),MAE=4.778 | RMSE=5.382 | MAPE=8.92%,4.778133890581144,,,,ARIMA seleccionado por menor RMSE en test (2025). Captura tendencia del interés digital.,Final,True
Capa 3,3A — Clustering consumidores,clustering_no_supervisado,Identificar perfiles naturales de consumidor de moda en RRSS,capa3_clustering_ready.csv,KMeans k=2,No supervisado (Ganador),Silhouette=0.353 | Inercia=1333.0,,,,,"El análisis K-Means identifica 2 perfiles diferenciados de consumidor construidos exclusivamente a partir de 7 índices compuestos que sintetizan la influencia de las RRSS, el impulso de compra, la confianza en influencers, la difusión del fast fashion, la experiencia postcompra y el riesgo de arrepentimiento. El Silhouette Score de 0.353 indica una separación buena entre clústeres. Las variables demográficas y de conducta se reservan para la caracterización posterior de los segmentos, evitando que dominen artificialmente la segmentación.",Final,True
Capa 3,3B — Clasificación intención de compra futura,clasificacion_supervisada,Predecir si el consumidor seguirá comprando influido por RRSS,capa3_supervised_ready.csv,A_Logistic_Regression,Baseline (Ganador),Acc=0.828 | F1=0.766 | AUC=0.943 | Gap_F1=0.065,,0.7659574468085106,0.942690058479532,0.0653678543963086,Predice intención de compra futura a partir de índices psicológicos e índices de influencia RRSS.,Final,True
Capa 3,3B — Clasificación intención de compra futura,clasificacion_supervisada,Predecir si el consumidor seguirá comprando influido por RRSS,capa3_supervised_ready.csv,B_Random_Forest,Avanzado,Acc=0.844 | F1=0.773 | AUC=0.927 | Gap_F1=0.046,,0.7727272727272727,0.9274853801169592,0.0459861775651249,Predice intención de compra futura a partir de índices psicológicos e índices de influencia RRSS.,Final,False
