dataset,variable,n_nulls,pct_nulls,decision_analitica,comentario
capa2_master_brand_digital,valor_trends,11,1.67,mantener,Nivel de nulos bajo y asumible.
capa2_master_integrated,valor_trends,611,24.39,mantener_con_priorizacion,Variable válida solo con cautela e interpretación prudente.
capa2_master_terminos_main,valor_trends,230,11.63,mantener_con_priorizacion,Nivel de nulos bajo y asumible.
capa2_master_terminos_mensual,valor_trends,611,24.39,mantener_con_priorizacion,Variable válida solo con cautela e interpretación prudente.
instagram_posts_clean,hashtags,2369,100.0,descartar_analiticamente,Campo no recuperado de forma útil por Apify; no se usará en análisis.
instagram_posts_clean,caption,1,0.04,mantener_con_cautela,"Variable textual utilizable, aunque con algunos faltantes; no afecta al núcleo cuantitativo."
trends_consciente_compra_clean,valor_trends,28,4.21,mantener,Nivel de nulos bajo y asumible.
trends_grupos_unificados_clean,valor_trends,618,24.5,mantener_con_cautela,Variable válida solo con cautela e interpretación prudente.
trends_marcas_clean,valor_trends,11,1.67,mantener,Nivel de nulos bajo y asumible.
trends_moda_total_clean,valor_trends,619,31.03,mantener_con_priorizacion,Existen términos con señal parcial; se controlan mediante quality_flag y prioridad analítica.
trends_sofisticado_clean,valor_trends,349,52.48,mantener_con_priorizacion,Los nulos responden a baja continuidad/interés de algunos términos sofisticados.
trends_urbano_clean,valor_trends,230,43.23,mantener_con_priorizacion,Los nulos responden a menor continuidad de algunos términos urbanos.
